"","jvm","gcc","gc","benchmark","category","rtINT","rtHS","ratio"
"32","j09","GCC5","CPGC","fj-kmeans","concurrency",468.3552918032,36.034791639,12.9973081708153
"33","j09","GCC5","CPGC","future-genetic","functional",141.6365288567,13.139248364,10.7796523007182
"34","j09","GCC5","CPGC","gauss-mix","apache",904.6985441877,55.541048109,16.2888273626421
"35","j09","GCC5","CPGC","log-regression","apache",464.4458675041,65.922123235,7.04537179193148
"36","j09","GCC5","CPGC","mnemonics","functional",972.1481530356,26.116962158,37.2228648628576
"37","j09","GCC5","CPGC","movie-lens","apache",954.07050822155,133.504149526,7.14637343939444
"38","j09","GCC5","CPGC","naive-bayes","apache",2721.1698087121,212.853858244,12.7842165096803
"39","j09","GCC5","CPGC","neo4j-analytics","database",3735.83945731445,187.543143991,19.9198935125761
"40","j09","GCC5","CPGC","page-rank","apache",1556.7569756738,144.525660587,10.7714918537714
"41","j09","GCC5","CPGC","par-mnemonics","functional",800.435155402,23.326858449,34.3138857361358
"42","j09","GCC5","CPGC","philosophers","scala",504.01009758725,14.140136916,35.6439333353942
"43","j09","GCC5","CPGC","reactors","concurrency",1757.4768625666,88.514385932,19.8552680907345
"44","j09","GCC5","CPGC","rx-scrabble","functional",92.0612680844,10.298229139,8.93952414942473
"45","j09","GCC5","CPGC","scala-doku","scala",619.010633731,44.618279149,13.87347619714
"46","j09","GCC5","CPGC","scala-kmeans","scala",168.32601328455,7.7201845,21.8033666532905
"47","j09","GCC5","CPGC","scala-stm-bench7","scala",189.3037058415,15.691458641,12.0641241947304
"48","j09","GCC5","CPGC","scrabble","functional",120.9547232503,12.451395261,9.71415015866951
"49","j09","GCC5","G1GC","akka-uct",NA,NA,96.476227373,NA
"50","j09","GCC5","G1GC","chi-square",NA,NA,75.326803514,NA
"51","j09","GCC5","G1GC","db-shootout",NA,NA,213.493320981,NA
"52","j09","GCC5","G1GC","dec-tree",NA,NA,76.113679205,NA
"53","j09","GCC5","G1GC","dotty",NA,NA,73.632385163,NA
"54","j09","GCC5","G1GC","finagle-chirper",NA,NA,63.390837715,NA
"55","j09","GCC5","G1GC","finagle-http",NA,NA,48.851737742,NA
"56","j09","GCC5","G1GC","fj-kmeans",NA,NA,33.349816504,NA
"57","j09","GCC5","G1GC","future-genetic",NA,NA,15.211261916,NA
